MM-DD-YYYY,HH:MM:SS.000,Temp,ADH11_Count,ALDHKI1_Count,ADH10_Count,ADH9_Count,WT14_Count,WT12_Count,WT13_Count,WT11_Count,WT10_Count,WT9_Count,ADH11_Start,ALDHKI1_Start,ADH10_Start,ADH9_Start,WT14_Start,WT12_Start,WT13_Start,WT11_Start,WT10_Start,WT9_Start,ADH11_Stop,ALDHKI1_Stop,ADH10_Stop,ADH9_Stop,WT14_Stop,WT12_Stop,WT13_Stop,WT11_Stop,WT10_Stop,WT9_Stop
7/18/2024,10:34:50 AM,25.25,0,0,1,0,28,0,0,6,3,58,0,0,35589,0,28596,0,0,38201,31989,30524,0,0,35679,0,28626,0,0,38213,32031,30548
7/18/2024,10:34:50 AM,25.25,0,0,1,0,28,0,0,7,3,58,0,0,35589,0,28596,0,0,38365,31989,30524,0,0,35679,0,28626,0,0,38419,32031,30548
7/18/2024,10:34:51 AM,25.25,0,0,1,0,28,0,0,8,3,58,0,0,35589,0,28596,0,0,38479,31989,30524,0,0,35679,0,28626,0,0,38503,32031,30548
7/18/2024,10:34:51 AM,25.25,1,0,1,0,28,0,0,8,3,58,38558,0,38559,38560,38560,0,0,38568,31989,38557,38582,0,35679,0,28626,0,0,38503,32031,30548
7/18/2024,10:34:51 AM,25.25,1,0,2,0,28,0,0,8,3,58,38558,0,38559,38560,38560,0,0,38568,31989,38557,38582,0,38989,0,28626,0,0,38503,32031,30548
7/18/2024,10:34:52 AM,25.25,1,0,2,1,28,0,0,8,3,58,38558,0,38559,38560,38560,0,0,38568,31989,38557,38582,0,38989,39041,28626,0,0,38503,32031,30548
7/18/2024,10:34:51 AM,25.25,1,0,2,1,29,0,0,8,3,58,38558,0,38559,38560,38560,0,0,38568,31989,38557,38582,0,38989,39041,39093,0,0,38503,32031,30548
7/18/2024,10:34:51 AM,25.25,1,0,2,1,29,0,0,9,3,58,38558,0,38559,38560,38560,0,0,38568,31989,38557,38582,0,38989,39041,39093,0,0,39152,32031,30548
7/18/2024,10:34:51 AM,25.25,1,0,2,1,29,0,0,9,3,58,38558,0,38559,38560,38560,0,0,38568,31989,38557,38582,0,38989,39041,39093,0,0,39152,32031,30548
7/18/2024,10:34:51 AM,25.25,1,0,2,1,29,0,0,9,3,59,38558,0,38559,38560,38560,0,0,38568,31989,38557,38582,0,38989,39041,39093,0,0,39152,32031,39260
7/18/2024,10:34:53 AM,25.25,1,0,2,1,29,0,0,9,3,60,38558,0,38559,38560,38560,0,0,38568,31989,40468,38582,0,38989,39041,39093,0,0,39152,32031,40517
7/18/2024,10:34:53 AM,25.25,1,0,2,1,29,0,0,9,3,61,38558,0,38559,38560,38560,0,0,38568,31989,40576,38582,0,38989,39041,39093,0,0,39152,32031,40624
7/18/2024,10:34:53 AM,25.25,1,0,2,1,29,0,0,9,3,62,38558,0,38559,38560,38560,0,0,38568,31989,40683,38582,0,38989,39041,39093,0,0,39152,32031,40725
7/18/2024,10:34:53 AM,25.25,1,0,2,1,29,0,0,9,3,63,38558,0,38559,38560,38560,0,0,38568,31989,40789,38582,0,38989,39041,39093,0,0,39152,32031,40837
7/18/2024,10:34:54 AM,25.25,1,0,2,1,29,0,0,9,3,64,38558,0,38559,38560,38560,0,0,38568,31989,40897,38582,0,38989,39041,39093,0,0,39152,32031,40939
7/18/2024,10:34:54 AM,25.25,1,0,2,1,29,0,0,9,3,65,38558,0,38559,38560,38560,0,0,38568,31989,41009,38582,0,38989,39041,39093,0,0,39152,32031,41051
7/18/2024,10:34:53 AM,25.25,1,0,2,1,29,0,0,9,3,66,38558,0,38559,38560,38560,0,0,38568,31989,41116,38582,0,38989,39041,39093,0,0,39152,32031,41146
7/18/2024,10:34:53 AM,25.25,1,0,2,1,29,0,0,9,3,67,38558,0,38559,38560,38560,0,0,38568,31989,41213,38582,0,38989,39041,39093,0,0,39152,32031,41243
7/18/2024,10:34:53 AM,25.25,1,0,2,1,29,0,0,9,3,68,38558,0,38559,38560,38560,0,0,38568,31989,41307,38582,0,38989,39041,39093,0,0,39152,32031,41337
7/18/2024,10:34:53 AM,25.25,1,0,2,1,29,0,0,9,3,69,38558,0,38559,38560,38560,0,0,38568,31989,41407,38582,0,38989,39041,39093,0,0,39152,32031,41449
7/18/2024,10:34:54 AM,25.25,1,0,2,1,29,0,0,9,3,70,38558,0,38559,38560,38560,0,0,38568,31989,41515,38582,0,38989,39041,39093,0,0,39152,32031,41570
7/18/2024,10:34:54 AM,25.25,1,0,2,1,29,0,0,9,3,71,38558,0,38559,38560,38560,0,0,38568,31989,41641,38582,0,38989,39041,39093,0,0,39152,32031,41671
7/18/2024,10:34:54 AM,25.25,1,0,2,1,29,0,0,9,3,72,38558,0,38559,38560,38560,0,0,38568,31989,41740,38582,0,38989,39041,39093,0,0,39152,32031,41788
7/18/2024,10:34:54 AM,25.25,1,0,2,1,29,0,0,9,3,73,38558,0,38559,38560,38560,0,0,38568,31989,41853,38582,0,38989,39041,39093,0,0,39152,32031,41889
7/18/2024,10:34:54 AM,25.25,1,0,2,1,29,0,0,9,3,74,38558,0,38559,38560,38560,0,0,38568,31989,41960,38582,0,38989,39041,39093,0,0,39152,32031,41997
7/18/2024,10:34:54 AM,25.25,1,0,2,1,29,0,0,9,3,75,38558,0,38559,38560,38560,0,0,38568,31989,42060,38582,0,38989,39041,39093,0,0,39152,32031,42103
7/18/2024,10:34:54 AM,25.25,1,0,2,1,29,0,0,9,3,76,38558,0,38559,38560,38560,0,0,38568,31989,42174,38582,0,38989,39041,39093,0,0,39152,32031,42210
7/18/2024,10:34:54 AM,25.25,1,0,2,1,29,0,0,9,3,77,38558,0,38559,38560,38560,0,0,38568,31989,42286,38582,0,38989,39041,39093,0,0,39152,32031,42334
7/18/2024,10:34:55 AM,25.25,1,0,2,1,29,0,0,9,3,78,38558,0,38559,38560,38560,0,0,38568,31989,42743,38582,0,38989,39041,39093,0,0,39152,32031,42774
7/18/2024,10:34:56 AM,25.25,1,0,2,1,29,0,0,9,3,79,38558,0,38559,38560,38560,0,0,38568,31989,42837,38582,0,38989,39041,39093,0,0,39152,32031,42892
7/18/2024,10:34:55 AM,25.25,1,0,2,1,29,0,0,9,3,80,38558,0,38559,38560,38560,0,0,38568,31989,42973,38582,0,38989,39041,39093,0,0,39152,32031,42998
7/18/2024,10:34:55 AM,25.25,1,0,2,1,29,0,0,9,3,81,38558,0,38559,38560,38560,0,0,38568,31989,43283,38582,0,38989,39041,39093,0,0,39152,32031,43307
7/18/2024,10:34:55 AM,25.25,1,0,2,1,29,0,0,9,3,82,38558,0,38559,38560,38560,0,0,38568,31989,43367,38582,0,38989,39041,39093,0,0,39152,32031,43403
