MM-DD-YYYY,HH:MM:SS.000,Temp,WT17_Count,ADH16_Count,WT16_Count,WT15_Count,ADH18_Count,ADH17_Count,ADH19_Count,WT17_Start,ADH16_Start,WT16_Start,WT15_Start,ADH18_Start,ADH17_Start,ADH19_Start,WT17_Stop,ADH16_Stop,WT16_Stop,WT15_Stop,ADH18_Stop,ADH17_Stop,ADH19_Stop
1/28/25,43:33.4,24,0,27,0,0,0,7,32,0,40335,0,0,0,36955,38869,0,40354,0,0,0,37003,38920
1/28/25,43:34.5,24,0,28,0,0,0,7,32,0,40447,0,0,0,36955,38869,0,40502,0,0,0,37003,38920
1/28/25,43:34.6,24,0,29,0,0,0,7,32,0,40553,0,0,0,36955,38869,0,40595,0,0,0,37003,38920
1/28/25,43:34.7,24,0,30,0,0,0,7,32,0,40653,0,0,0,36955,38869,0,40689,0,0,0,37003,38920
1/28/25,43:34.8,24,0,31,0,0,0,7,32,0,40775,0,0,0,36955,38869,0,40811,0,0,0,37003,38920
1/28/25,43:35.0,24,0,32,0,0,0,7,32,0,40875,0,0,0,36955,38869,0,40929,0,0,0,37003,38920
1/28/25,43:34.8,24,0,33,0,0,0,7,32,0,41001,0,0,0,36955,38869,0,41050,0,0,0,37003,38920
1/28/25,43:34.4,24,0,34,0,0,0,7,32,0,41403,0,0,0,36955,38869,0,41409,0,0,0,37003,38920
1/28/25,43:35.6,24,0,35,0,0,0,7,32,0,41530,0,0,0,36955,38869,0,41584,0,0,0,37003,38920
1/28/25,43:42.0,24,0,35,1,0,0,7,32,0,41530,47948,0,0,36955,38869,0,41584,47960,0,0,37003,38920
1/28/25,43:42.9,24,0,35,2,0,0,7,32,0,41530,48856,0,0,36955,38869,0,41584,48898,0,0,37003,38920
1/28/25,43:43.5,24,0,35,3,0,0,7,32,0,41530,49424,0,0,36955,38869,0,41584,49430,0,0,37003,38920
1/28/25,43:53.5,24,0,36,3,0,0,7,32,0,60399,49424,0,0,36955,38869,0,60411,49430,0,0,37003,38920
1/28/25,43:54.7,24,0,37,3,0,0,7,32,0,60641,49424,0,0,36955,38869,0,60672,49430,0,0,37003,38920
1/28/25,43:54.8,24,0,38,3,0,0,7,32,0,60746,49424,0,0,36955,38869,0,60782,49430,0,0,37003,38920
1/28/25,43:54.9,24,0,39,3,0,0,7,32,0,60841,49424,0,0,36955,38869,0,60871,49430,0,0,37003,38920
1/28/25,43:55.0,24,0,40,3,0,0,7,32,0,60929,49424,0,0,36955,38869,0,60959,49430,0,0,37003,38920
1/28/25,43:54.8,24,0,41,3,0,0,7,32,0,61035,49424,0,0,36955,38869,0,61047,49430,0,0,37003,38920
